username,location,text,tweet_date,hashtags_extracted,text_cleaned
Wicked Prepping,,"mandatory vaccinations...
           or just coercive manipulation?

😱green zones coming to a town near you!

---&gt; https://t.co/gqxoql2asg 

#vaccine #vaccinations #wef #nwo #covid19 #covid #coronavirus #prepper #prepping",2022-04-11 21:50:02+00:00,"vaccine,vaccinations,wef,nwo,covid19,covid,coronavirus,prepper,prepping",mandatory vaccinations or just coercive manipulation?green zones coming to a town near you!---gt
Ethan Burress,,"as of april 6, 2022, 22.8 million children and adolescents ages 5–18 years have received their primary series of a #covid19 vaccine and are considered fully vaccinated. there is still much work to do! find out where to get vaccinated #masc336: https://t.co/yokk2cp65t https://t.co/t9cxxy4wks",2022-04-11 21:47:00+00:00,"covid19,masc336",as of april   million children and adolescents ages years have received their primary series of a vaccine and are considered fully vaccinated there is still much work to do! find out where to get vaccinated 
MyDogIsSmarterThanYourRepublican,"Chicago, IL","@jeanthorpe getting my 2nd booster tomorrow.  first 3 shots were pfizer, so i'm getting a moderna for the 4th.

https://t.co/hdcgtt5f7x.",2022-04-11 21:37:08+00:00,,getting my nd booster tomorrow first shots were pfizer so im getting a moderna for the th
WxKenYYC,"Calgary, Aberta","calgary alberta #abstorm yyc ybw
2022 april 11, 3:05pm
alberta childrens hospital sky/28
@ahs_media covid-19 immunization booking https://t.co/rqounsqaok https://t.co/gxzeqvljxs",2022-04-11 21:06:27+00:00,abstorm,calgary alberta yyc ybw2022 april  05pmalberta childrens hospital sky28 covid-19 immunization booking
Epoch Times Opinion,New York City,"opinion💭by @martinkulldorff 

over a year after the approvals of #covid19 vaccines, we should have more information about them. this is a serious problem.

this has also led to less trust in @cdcgov and the @us_fda, as well as other #vaccines in general. https://t.co/zryzd6ztcm",2022-04-11 21:05:01+00:00,"covid19,vaccines",opinionby over a year after the approvals of vaccines we should have more information about them this is a serious problemthis has also led to less trust in and the  as well as other in general
Equal Hope,"Chicago, IL","the #covid19 vaccines work!

https://t.co/qlkegyi7p4

#getthevax",2022-04-11 21:00:47+00:00,"covid19,getthevax",the vaccines work!
NYC Health + Hospitals/Bellevue,NYC,"a third #covid19 vaccine dose is available and no cost for eligible new yorkers at any nyc health + hospitals location! walk-ins are welcome. find answers to frequently asked questions about the third dose, and learn more about eligibility: https://t.co/8zuffsd41j https://t.co/4266rpj51y",2022-04-11 21:00:30+00:00,covid19,a third vaccine dose is available and no cost for eligible new yorkers at any nyc health + hospitals location! walk-ins are welcome find answers to frequently asked questions about the third dose and learn more about eligibility
Tendrilita,,"should i get a booster (fam too)? 

we were late vaccinators, so we became eligible recently. not sure what to do. data to share? thank you!

#vaccine #covid19 #covid_19 #vaccinated #booster",2022-04-11 20:53:56+00:00,"vaccine,covid19,covid_19,vaccinated,booster",should i get a booster (fam too)? we were late vaccinators so we became eligible recently not sure what to do data to share? thank you!
African American Youth Harvest Foundation,"Austin, TX","if you want a covid-19 vaccine or need a ride to a local clinic--we've got you covered (aayhf, capitol metro &amp; ctahi). find out how we can help below. #weareinthistogether #covid19 https://t.co/bmgfxtcet4",2022-04-11 20:50:43+00:00,"weareinthistogether,covid19",if you want a covid-19 vaccine or need a ride to a local clinic--weve got you covered (aayhf capitol metro  ctahi) find out how we can help below
Star-Advertiser,"Honolulu, Hawaii",".@cvs, feds reach agreement on #covid19 vaccine portal accessibility https://t.co/sak56trlbr",2022-04-11 20:50:04+00:00,covid19, feds reach agreement on vaccine portal accessibility
Dr. Lynora Saxinger 🇨🇦- IDologist,University of Alberta Edmonton,"covid19 vaccine trials in young kids started in early 2021, designed to quickly assess safety and immune responses (given the extensive safety and effectiveness data with mrna vaccines in other age groups.)
article with some commentary here: https://t.co/h9vy22kewr
5/",2022-04-11 20:48:04+00:00,,covid19 vaccine trials in young kids started in early  designed to quickly assess safety and immune responses (given the extensive safety and effectiveness data with mrna vaccines in other age groups)article with some commentary here
Public Health - Seattle & King County,"Seattle & King County, WA","starting friday, april 15th, outlet collection mall #covid19 vaccine site in @auburn_wa will be open friday - monday, 10:30am to 7:00pm.

drop-ins welcome and same day appointments are available for vaccinations and boosters. for more information, go to: https://t.co/5l97kkz2vf. https://t.co/muunjrm3xa",2022-04-12 23:58:08+00:00,covid19,starting friday april th outlet collection mall vaccine site in will be open friday - monday 30am to 00pmdrop-ins welcome and same day appointments are available for vaccinations and boosters for more information go to 
Tian_A1,Everywhere,#pfizer's covid pill paxlovid gets boost in britain thanks to spot in [ https://t.co/b5wjx1x0el ] il y a 9heures pfizer's #covid19 vaccine and antiviral show little sign of slowing down in the the pandemic catapulted biontech into the #biotech big le https://t.co/di6c0mpniy,2022-04-12 23:56:05+00:00,"pfizer,covid19,biotech",s covid pill paxlovid gets boost in britain thanks to spot in [ ] il y a heures pfizers vaccine and antiviral show little sign of slowing down in the the pandemic catapulted biontech into the big le
Nina Sun,,a case study on why communities need to part of pandemic preparedness 👇👇👇 #covid19 https://t.co/mymescjxvg,2022-04-12 23:36:29+00:00,covid19,a case study on why communities need to part of pandemic preparedness
Tian_A1,Everywhere,"after initial hiccup, many private hospitals start offering #covid19 vaccine booster doses demand rises [ https://t.co/eqqkyl5ral ] il y a 18heures with both serum institute of #india and bharat #biotech asking private hospitals to start offering cov https://t.co/jffhsg7ek1",2022-04-12 23:07:06+00:00,"covid19,india,biotech",after initial hiccup many private hospitals start offering vaccine booster doses demand rises [ ] il y a heures with both serum institute of and bharat asking private hospitals to start offering cov
Colorado Department of Public Health & Environment,Colorado,"@cdcgov and cdphe have released covid-19 revaccination information for patients who received invalid doses of covid-19 vaccine at the centennial-based health now medical, llc (operating as health now family practice). 

press release: https://t.co/9i7pfosrwh",2022-04-12 22:45:56+00:00,,and cdphe have released covid-19 revaccination information for patients who received invalid doses of covid-19 vaccine at the centennial-based health now medical llc (operating as health now family practice) press release
Martin Oaks,"Lewisville, TX and Dallas, TX",dr. #jha new #covid19  #czar. #leadership #doctor #medicine #hospital #research #speaker #whitehouse #cdc #who #congress #usa #vaccine #booster #legal #masks #schools #travel https://t.co/ekmbmsfazx,2022-04-12 22:33:59+00:00,"jha,covid19,czar,leadership,doctor,medicine,hospital,research,speaker,whitehouse,cdc,who,congress,usa,vaccine,booster,legal,masks,schools,travel",dr new 
YourVaccinationGuide.org,,"get all the answers you are looking for about #covid-19 #vaccine on @yourvaccinationguide in english and spanish that includes advice from medical experts and testimonials from real people. stay in the know by visiting us! #vaccination #covid19 
https://t.co/ygnkg6vh5m",2022-04-12 22:30:38+00:00,"covid,vaccine,vaccination,covid19",get all the answers you are looking for about on in english and spanish that includes advice from medical experts and testimonials from real people stay in the know by visiting us!
North Bay Parry Sound District Health Unit,Northern Ontario,"18+, no symptoms and boosted? you don’t need to #isolate if a household member has #covid19 symptoms or tests positive. where to get your #booster: https://t.co/ndnsajpym6. info on isolation guidelines: https://t.co/yqroodqxxv, or on's testing &amp; isolation line: 1-888-777-0730 https://t.co/ykvzqsobzn",2022-04-12 22:30:05+00:00,"isolate,covid19,booster",+ no symptoms and boosted? you dont need to if a household member has symptoms or tests positive where to get your   info on isolation guidelines  or ons testing  isolation line1-888-777-0730
James Coleman,,"@variantomicron_ @johnnyx1987 @voisonmyopinion https://t.co/kpqh3wm7k8

https://t.co/ag3ulraxmb

https://t.co/2dz4brnnvm

https://t.co/z8unmnl0k1

and studies across the world agree:

https://t.co/h5zsaplch5

https://t.co/rgo6xcear6

https://t.co/k5b2egwvuy

but really, just speak to some virologists. speak to doctors.",2022-04-12 22:25:06+00:00,,studies across the world agree really just speak to some virologists speak to doctors
Pea Green Corner,,"@mootlvr66 @tentonheart i switched. first three shots pfizer, asked for and got moderna this time.  some preliminary findings suggest mixing may be better.  https://t.co/4ynfnyeeul",2022-04-12 22:07:46+00:00,,i switched first three shots pfizer asked for and got moderna this time some preliminary findings suggest mixing may be better
Lynn Deborah ✡️ 🎨 💬,"Oregon, USA","a german state is last in almost everything. but it’s no. 1 in vaccines.
bremen — germany’s smallest state — managed its vaccination campaign better than any other place in germany. it succeeded by activating community networks. #covid19 #vaccinations  https://t.co/faotjisyj0",2022-04-12 22:03:14+00:00,"covid19,vaccinations",a german state is last in almost everything but its no in vaccinesbremen germanys smallest state managed its vaccination campaign better than any other place in germany it succeeded by activating community networks
Louis T McFadden,,"mu nursing receives $70,000 grant to combat vaccine hesitancy | covid-19 | https://t.co/bd1rf00zwr. sounds like a government propaganda program yet again … what’s that curriculum look like @hawley ⁦⁦@rephartzler⁩  https://t.co/hzgidhabv3",2022-04-12 21:49:23+00:00,,mu nursing receives $70000 grant to combat vaccine hesitancy | covid-19 |  sounds like a government propaganda program yet again whats that curriculum look like
Indiana Department of Health,Indiana,"the more a virus spreads, the more it mutates and the more variants can emerge. #covid19 vaccinations can help stop new variants from emerging.

help stop the spread of variants of the virus that causes covid-19 by getting vaccinated as soon as you can 💉 https://t.co/2akqsy3dip https://t.co/sawdd097a4",2022-04-12 21:31:11+00:00,covid19,the more a virus spreads the more it mutates and the more variants can emerge vaccinations can help stop new variants from emerginghelp stop the spread of variants of the virus that causes covid-19 by getting vaccinated as soon as you can
POPEYE,NICE,two doctors suspended for speaking out about the covid-19 vaccine win appeal https://t.co/5qdc92ih62,2022-04-12 21:26:19+00:00,,two doctors suspended for speaking out about the covid-19 vaccine win appeal
PacificaSeniorLiving,"San Diego, CA","here's everything you need to know about the fda's approval of a second booster of the covid-19 vaccine. the shot is intended to ensure those at a higher risk of infection - such as seniors - are protected.

#pacificaseniorliving #covid19
https://t.co/no11euicfs https://t.co/tpp12hmqmj",2022-04-12 21:20:49+00:00,"pacificaseniorliving,covid19",heres everything you need to know about the fdas approval of a second booster of the covid-19 vaccine the shot is intended to ensure those at a higher risk of infection - such as seniors - are protected 
Optometry Times,"Cleveland, Philadelphia",".@pfizer and @biontech_group launch omicron-specific covid-19 vaccine trial https://t.co/qr1lzaekm4

#optometry #covid #covid19 #clinicaltrial https://t.co/l7bjiqdgcx",2022-04-12 21:00:29+00:00,"optometry,covid,covid19,clinicaltrial", and launch omicron-specific covid-19 vaccine trial
Illinois CEAL,,"#parents and #caregivers:  read this article to better understand the rare but treatable risks of the #covid19 vaccine. 

https://t.co/xjevdsbrbs

#getthevax",2022-04-12 21:00:18+00:00,"parents,caregivers,covid19,getthevax",and  read this article to better understand the rare but treatable risks of the vaccine
David  ♿️🎨,"Harrisburg, PA","covid stab number 4. 

i’ll get them every time they say i need one. this isn’t a bid deal, y’all. 

get #vaccinated #vax #vaccine #covid19 #covidvax",2022-04-12 20:38:05+00:00,"vaccinated,vax,vaccine,covid19,covidvax",covid stab number  ill get them every time they say i need one this isnt a bid deal yall get
Canadian National Multilingual Newsgroup,Toronto,"ontario: on april 12, numbers released by the ministry of health show health officials administered 28,641 vaccine doses on monday, down from 12,516 doses the day prior 
(cnmng news 🇨🇦)

https://t.co/sdovwb0d0p

#covid19 #ontario #vaccinations #canada #covid",2022-04-12 20:35:48+00:00,"covid19,ontario,vaccinations,canada,covid",ontario on april  numbers released by the ministry of health show health officials administered vaccine doses on monday down from doses the day prior (cnmng news )
Shane Woodford,"Faaborg, Denmark","#finland registered 7,216 #covid19 infection and had no new #coronavirus deaths since yesterday’s update. #covid hospitalizations (966) have increased (+42). so far, 80.2% of the total population have one vaccine dose, 76.9% have two, and 51.4% have a booster shot. https://t.co/vgjwlllchi",2022-04-12 20:30:42+00:00,"finland,covid19,coronavirus,covid",registered infection and had no new deaths since yesterdays update hospitalizations (966) have increased (+42) so far  of the total population have one vaccine dose  have two and  have a booster shot
"University of Maryland, Baltimore","Baltimore, Maryland",the outcome from one of these newest @ihvmaryland studies indicate that this trained innate immune response spurred by vaccination using the live polio-virus may provide protection for up to 6 months against covid infection. #covid19 https://t.co/rhmyllngjd,2022-04-12 20:30:02+00:00,covid19,the outcome from one of these newest studies indicate that this trained innate immune response spurred by vaccination using the live polio-virus may provide protection for up to months against covid infection
Jean-Luc Mathay,Thoissey (France),"(post updated) the african continent is still victim of unequal access to the #vaccine against #covid19... in addition to unequal access to many drugs...
#vaccinequity 
#covidisnotover
#covidisntover
#ctaop
https://t.co/5c4lq5vksz",2022-04-12 20:26:16+00:00,"vaccine,covid19,vaccinequity,covidisnotover,covidisntover,ctaop",(post updated) the african continent is still victim of unequal access to the against  in addition to unequal access to many drugs 
Center for Urban Community Services | CUCS,"New York, NY","the very nature of the shots is an encore; at one point, the people who now need them “must have already decided a shot would be worthwhile.” 
- cucs chief medical officer, dr. van yu, on getting #covid19 boosters into arms. @theatlantic @katherinejwu 

https://t.co/yvau6xuqww",2022-04-12 20:20:30+00:00,covid19,the very nature of the shots is an encore at one point the people who now need them must have already decided a shot would be worthwhile - cucs chief medical officer dr van yu on getting boosters into arms
Secular Citizen MD 🌹,"Seattle, WA","newsflash: you are going to get #covid19. it does not matter if you are vaccinated or wear a mask. covid is here to stay, and eventually, everyone will get it. the vaccine helps to reduce hospitalizations and minimize the risks.",2022-04-12 20:15:12+00:00,covid19,newsflash you are going to get  it does not matter if you are vaccinated or wear a mask covid is here to stay and eventually everyone will get it the vaccine helps to reduce hospitalizations and minimize the risks
SpringLaw,"Toronto, Ontario","employers: what the end of covid-19 measures mean -- written by @hilarykpage1 

https://t.co/js4pjmxqxi

#covid19 #hr #employer #vaccine #vaccinepolicy #businessowner",2022-04-12 20:13:21+00:00,"covid19,hr,employer,vaccine,vaccinepolicy,businessowner",employers what the end of covid-19 measures mean -- written by
Alvaro Carrascal,Upstate NY,"from @cdcmmwr among persons w/ previous #sarscov2 infection or #covid19 diagnosis, receipt of a ..mrna vaccine provided protection against subsequent covid-19 hospitalization. 
 https://t.co/if6qnqmncv",2022-04-12 20:05:05+00:00,"sarscov2,covid19",from among persons w previous infection or diagnosis receipt of a mrna vaccine provided protection against subsequent covid-19 hospitalization
Humanity,Here & where my mind takes me.,#covid19 #long covid #mrna #covid_19 #omicron2 #omicron mrna vaccine’s don’t work in the upper respiratory tract : https://t.co/tfer42pmcr @weselymd @npr @theatlantic https://t.co/mzbzeclp6i,2022-04-13 23:58:02+00:00,"covid19,long,mrna,covid_19,omicron2,omicron",covid mrna vaccines dont work in the upper respiratory tract 
GailReedMEDICC,USA #Chicago born!,"#cuba readying to study its #soberana #covid19 #vaccine in infants in phase 1/2 trial designed by finlay vaccine institute. kids as young as 2 years are already eligible for vaccination, and some 1.8 million have received doses of the cuban covid vaccines.@finlayinstituto https://t.co/ssuuvbjso4",2022-04-13 23:48:53+00:00,"cuba,soberana,covid19,vaccine",readying to study its in infants in phase 2 trial designed by finlay vaccine institute kids as young as years are already eligible for vaccination and some million have received doses of the cuban covid vaccines
Alvaro Carrascal,Upstate NY,"israel study suggests “.a 4th dose of bnt162b2 vaccine ⬆️protection against pcr-confirm. #sarscov2 inf., symptom. #covid19, covid-19–rel. hospitalization, severe covid-19, &amp; covid-19–rel. death.. compared w/ a 3rd (booster) dose given at least 4 mo. earlier among 60 yo. &amp; older.",2022-04-13 23:48:49+00:00,"sarscov2,covid19",israel study suggests a th dose of bnt162b2 vaccine protection against pcr-confirm inf symptom  covid-19rel hospitalization severe covid-19  covid-19rel death compared w a rd (booster) dose given at least mo earlier among yo  older
covidhealth,,new covid vaccine may better protect cancer patients @lizhighleyman https://t.co/0lvrxbjzap #coronavirus #covid19,2022-04-13 23:43:42+00:00,"coronavirus,covid19",new covid vaccine may better protect cancer patients
Miguel Hernán,Boston,"1/
our findings on a fourth dose (2nd booster) of the pfizer-biontech #covid19 vaccine are now published.

compared with 3 doses only, a fourth dose had 68% effectiveness against covid-19 hospitalization during the omicron era in persons over 60 years of age.

interestingly... https://t.co/7n58phnud5",2022-04-13 23:41:02+00:00,covid19,our findings on a fourth dose (2nd booster) of the pfizer-biontech vaccine are now publishedcompared with doses only a fourth dose had  effectiveness against covid-19 hospitalization during the omicron era in persons over years of ageinterestingly
APPRISE,Australia,"new crop of #covid19 mrna vaccines could be easier to store, cheaper to use

if approved, they could bring the pandemic’s vaccine technology to more of the world

#covid19aus #covid19australia #covidvaccine
https://t.co/xt5xtj4crd https://t.co/lpaytic4sz",2022-04-13 23:40:03+00:00,"covid19,covid19aus,covid19australia,covidvaccine",new crop of mrna vaccines could be easier to store cheaper to useif approved they could bring the pandemics vaccine technology to more of the world 
Tom Gillispie -- NATURE NEEDS OUR HELP,"Rural Hall, NC","#health links to coronavirus and health 2022 #battling_coronavirus #biden_administration #coronavirus #sickness #covid19 #illness #covid_hospitalizations #vaccine_mandates #anti_vaccine #anti_vaxxers
https://t.co/g7x7o3mabx
https://t.co/arloiugpf1",2022-04-13 23:25:37+00:00,"health,battling_coronavirus,biden_administration,coronavirus,sickness,covid19,illness,covid_hospitalizations,vaccine_mandates,anti_vaccine,anti_vaxxers",links to coronavirus and health 
Eva Michelle,,"@joncoopertweets i’m vaccinated, no busters and no covid19, despite the fact that i had contact with a coworker who had covid, and she has the vaccine and 1 booster!",2022-04-13 23:24:49+00:00,,im vaccinated no busters and no covid19 despite the fact that i had contact with a coworker who had covid and she has the vaccine and booster!
Darling Downs Health,"Toowoomba, Queensland","today is our last day at the clifford gardens vaccination clinic! we will close our gates for the last time at 4pm. 
 
pop on down if you need your vaccination, no bookings required, just walk on in! 🚶🏻‍♀️

to find a vaccination location near you 👉🏻 https://t.co/dft9zmqnax https://t.co/hgt0kbepa5",2022-04-13 23:00:41+00:00,,today is our last day at the clifford gardens vaccination clinic! we will close our gates for the last time at pm pop on down if you need your vaccination no bookings required just walk on in! to find a vaccination location near you
Al Arabiya English,Dubai,"a new #covid19 vaccine might also protect #cancer patients with weak immune systems, a new study finds.

https://t.co/orcjtiu3rx",2022-04-13 22:40:00+00:00,"covid19,cancer",a new vaccine might also protect patients with weak immune systems a new study finds
Vaccine Evaluation Center,Vancouver BC,"vec's @manishs_ spoke to @cbcnewsbc on low child vaccine rate for #covid19:
many parents are more worried about the vaccine's side effects despite covid-19 being a greater risk — even to kids.
""ultimately, these vaccines are extremely safe for children""
https://t.co/7etbio4ks4",2022-04-13 22:36:51+00:00,covid19,"vecs spoke to on low child vaccine rate for many parents are more worried about the vaccines side effects despite covid-19 being a greater risk even to kids""ultimately these vaccines are extremely safe for children"""
Edward Koenig,"New York, NY, USA","""the subvariants — called ba.2.12 and ba.2.12.1 — accounted for more than 70 percent of new cases in central new york state...""
#covid19 #covidisnotover
https://t.co/8er6rqugyx",2022-04-13 22:29:57+00:00,"covid19,covidisnotover","""the subvariants called ba212 and ba2121 accounted for more than percent of new cases in central new york state"" "
LondonTimes,Great Britain,"the transparency tightrope: why regulators are being taken to court over #pfizer’s #covid19 #vaccine. 
 https://t.co/6gumghmjl6",2022-04-13 22:08:51+00:00,"pfizer,covid19,vaccine",the transparency tightrope why regulators are being taken to court over 
dRC,"Fredericksburg,VA Region","do you have a disability and need help accessing the covid-19 vaccine? the drc can assist you with finding a vaccination, scheduling an in-home vaccination, accessible transportation to a vaccination appointment, and much more. call us at 540-373-2559 for help. #covid19 #vaccine https://t.co/ftei6bivzk",2022-04-13 22:00:24+00:00,"covid19,vaccine",do you have a disability and need help accessing the covid-19 vaccine? the drc can assist you with finding a vaccination scheduling an in-home vaccination accessible transportation to a vaccination appointment and much more call us at -373-2559 for help
Australian Doctor,"Sydney, Australia","one gp suspended after being accused of issuing fake covid-19 vaccine exemptions says demand for the certificates was so great he thought he would be investigated for breaching the 80/20 rule

https://t.co/hxtarllocw",2022-04-13 21:59:00+00:00,,one gp suspended after being accused of issuing fake covid-19 vaccine exemptions says demand for the certificates was so great he thought he would be investigated for breaching the 20 rule
Cryssy,🇨🇦,"@gorilluhh @nayrtv @g2esports if you're getting mild myocarditis from the vaccine, you would likely die from myocarditis via covid. covid19 vaccine is much less immunogenic than covid itself.",2022-04-13 21:46:03+00:00,,if youre getting mild myocarditis from the vaccine you would likely die from myocarditis via covid covid19 vaccine is much less immunogenic than covid itself
Pinkvilla,"Mumbai, India","‘vaximum immunity’: #amul shares a quirky doodle after goi allows adults to get booster dose of #covid19 vaccine
https://t.co/lzyblr7iqy",2022-04-13 21:41:19+00:00,"amul,covid19",vaximum immunity shares a quirky doodle after goi allows adults to get booster dose of vaccine
N.R.Patton,"Bronx, NY","“it’s just a reminder that we’re not out of the woods with regard to this virus, and people should continue to take precautions and to get fully #vaccinated if they haven’t completed their course..."" #covid19
https://t.co/7swmtnrs8p",2022-04-13 21:35:22+00:00,"vaccinated,covid19","its just a reminder that were not out of the woods with regard to this virus and people should continue to take precautions and to get fully if they havent completed their course"" "
"Robin P, Clown World Fact Checker 🤡🌎",Tennessee,"don’t forget that fauci ouchie is now going around for a 4th try. i’m not anti-vax, but i am anti-mandate. i also take issue with a “vaccine” that has to be repeated this often to do anything #covid #covid19 #fauci #vaccination https://t.co/slr5urjpqo",2022-04-13 21:31:46+00:00,"covid,covid19,fauci,vaccination",dont forget that fauci ouchie is now going around for a th try im not anti-vax but i am anti-mandate i also take issue with a vaccine that has to be repeated this often to do anything
Prairie Mountain Health,"Manitoba, Canada","#brandon covid walk in vaccine clinic at the brandon shoppers mall on april 16.  offering 1st, 2nd &amp; 3rd doses if eligible. check eligibility criteria https://t.co/ecopolt5zm.    @bnrc1 https://t.co/rb73ovbzn6",2022-04-13 21:25:03+00:00,brandon,covid walk in vaccine clinic at the brandon shoppers mall on april  offering st nd  rd doses if eligible check eligibility criteria 
NJDOH,New Jersey,"you can get vaccinated against covid-19 at st. matthew ame in orange on april 22 from 2pm to 7pm. walk ups welcome, no appointment, id or insurance required. for more information visit https://t.co/57gloozn4w https://t.co/8mzimpv27y",2022-04-13 21:12:31+00:00,,you can get vaccinated against covid-19 at st matthew ame in orange on april from pm to pm walk ups welcome no appointment id or insurance required for more information visit
TCTMD,"New York, NY","patients who receive the #covid19 vaccine are no more likely to develop myopericarditis than with a flu shot.
lead authors @ryanryling and kollengode ramanathan, md, pulled data from 22 studies with over 400 million vaccine doses.
https://t.co/yhssig5icf",2022-04-13 21:01:08+00:00,covid19,patients who receive the vaccine are no more likely to develop myopericarditis than with a flu shotlead authors and kollengode ramanathan md pulled data from studies with over million vaccine doses
Ready Arlington 😷,"Arlington, VA","need a #covid19 #vaccine or #booster? our clinics at arlington mill + walter reed community centers accept walk-ins! no appointment, health insurance or county residence required to visit. we're open to anyone age 5+. 

visit https://t.co/yfbrh5fyjc or call 703-228-7999 for more. https://t.co/wl4j0xedid",2022-04-14 23:53:01+00:00,"covid19,vaccine,booster",need a or ? our clinics at arlington mill + walter reed community centers accept walk-ins! no appointment health insurance or county residence required to visit were open to anyone age + visit or call -228-7999 for more
Councilmember Raul Peralez,"San José, CA","keep your community safe! @healthyscc is hosting a free drop-in mobile vaccination clinic – no insurance or appointment required – weds 4/20 from 3:30-7pm at biblioteca latinoamericana &amp; washington united youth center, 921 s 1st street, sj. learn more: https://t.co/qgpnevdmdf https://t.co/u6w0ug7b98",2022-04-14 23:39:48+00:00,,keep your community safe! is hosting a free drop-in mobile vaccination clinic no insurance or appointment required weds 20 from 30-7pm at biblioteca latinoamericana  washington united youth center s st street sj learn more
