username,location,text,tweet_date,hashtags_extracted,text_cleaned
Lynn Deborah ✡️ 🎨 💬,"Oregon, USA","a german state is last in almost everything. but it’s no. 1 in vaccines.
bremen — germany’s smallest state — managed its vaccination campaign better than any other place in germany. it succeeded by activating community networks. #covid19 #vaccinations  https://t.co/faotjisyj0",2022-04-12 22:03:14+00:00,"covid19,vaccinations",a german state is last in almost everything but its no in vaccinesbremen germanys smallest state managed its vaccination campaign better than any other place in germany it succeeded by activating community networks
Louis T McFadden,,"mu nursing receives $70,000 grant to combat vaccine hesitancy | covid-19 | https://t.co/bd1rf00zwr. sounds like a government propaganda program yet again … what’s that curriculum look like @hawley ⁦⁦@rephartzler⁩  https://t.co/hzgidhabv3",2022-04-12 21:49:23+00:00,,mu nursing receives $70000 grant to combat vaccine hesitancy | covid-19 |  sounds like a government propaganda program yet again whats that curriculum look like
Indiana Department of Health,Indiana,"the more a virus spreads, the more it mutates and the more variants can emerge. #covid19 vaccinations can help stop new variants from emerging.

help stop the spread of variants of the virus that causes covid-19 by getting vaccinated as soon as you can 💉 https://t.co/2akqsy3dip https://t.co/sawdd097a4",2022-04-12 21:31:11+00:00,covid19,the more a virus spreads the more it mutates and the more variants can emerge vaccinations can help stop new variants from emerginghelp stop the spread of variants of the virus that causes covid-19 by getting vaccinated as soon as you can
POPEYE,NICE,two doctors suspended for speaking out about the covid-19 vaccine win appeal https://t.co/5qdc92ih62,2022-04-12 21:26:19+00:00,,two doctors suspended for speaking out about the covid-19 vaccine win appeal
PacificaSeniorLiving,"San Diego, CA","here's everything you need to know about the fda's approval of a second booster of the covid-19 vaccine. the shot is intended to ensure those at a higher risk of infection - such as seniors - are protected.

#pacificaseniorliving #covid19
https://t.co/no11euicfs https://t.co/tpp12hmqmj",2022-04-12 21:20:49+00:00,"pacificaseniorliving,covid19",heres everything you need to know about the fdas approval of a second booster of the covid-19 vaccine the shot is intended to ensure those at a higher risk of infection - such as seniors - are protected 
Optometry Times,"Cleveland, Philadelphia",".@pfizer and @biontech_group launch omicron-specific covid-19 vaccine trial https://t.co/qr1lzaekm4

#optometry #covid #covid19 #clinicaltrial https://t.co/l7bjiqdgcx",2022-04-12 21:00:29+00:00,"optometry,covid,covid19,clinicaltrial", and launch omicron-specific covid-19 vaccine trial
Illinois CEAL,,"#parents and #caregivers:  read this article to better understand the rare but treatable risks of the #covid19 vaccine. 

https://t.co/xjevdsbrbs

#getthevax",2022-04-12 21:00:18+00:00,"parents,caregivers,covid19,getthevax",and  read this article to better understand the rare but treatable risks of the vaccine
David  ♿️🎨,"Harrisburg, PA","covid stab number 4. 

i’ll get them every time they say i need one. this isn’t a bid deal, y’all. 

get #vaccinated #vax #vaccine #covid19 #covidvax",2022-04-12 20:38:05+00:00,"vaccinated,vax,vaccine,covid19,covidvax",covid stab number  ill get them every time they say i need one this isnt a bid deal yall get
Canadian National Multilingual Newsgroup,Toronto,"ontario: on april 12, numbers released by the ministry of health show health officials administered 28,641 vaccine doses on monday, down from 12,516 doses the day prior 
(cnmng news 🇨🇦)

https://t.co/sdovwb0d0p

#covid19 #ontario #vaccinations #canada #covid",2022-04-12 20:35:48+00:00,"covid19,ontario,vaccinations,canada,covid",ontario on april  numbers released by the ministry of health show health officials administered vaccine doses on monday down from doses the day prior (cnmng news )
Shane Woodford,"Faaborg, Denmark","#finland registered 7,216 #covid19 infection and had no new #coronavirus deaths since yesterday’s update. #covid hospitalizations (966) have increased (+42). so far, 80.2% of the total population have one vaccine dose, 76.9% have two, and 51.4% have a booster shot. https://t.co/vgjwlllchi",2022-04-12 20:30:42+00:00,"finland,covid19,coronavirus,covid",registered infection and had no new deaths since yesterdays update hospitalizations (966) have increased (+42) so far  of the total population have one vaccine dose  have two and  have a booster shot
"University of Maryland, Baltimore","Baltimore, Maryland",the outcome from one of these newest @ihvmaryland studies indicate that this trained innate immune response spurred by vaccination using the live polio-virus may provide protection for up to 6 months against covid infection. #covid19 https://t.co/rhmyllngjd,2022-04-12 20:30:02+00:00,covid19,the outcome from one of these newest studies indicate that this trained innate immune response spurred by vaccination using the live polio-virus may provide protection for up to months against covid infection
Jean-Luc Mathay,Thoissey (France),"(post updated) the african continent is still victim of unequal access to the #vaccine against #covid19... in addition to unequal access to many drugs...
#vaccinequity 
#covidisnotover
#covidisntover
#ctaop
https://t.co/5c4lq5vksz",2022-04-12 20:26:16+00:00,"vaccine,covid19,vaccinequity,covidisnotover,covidisntover,ctaop",(post updated) the african continent is still victim of unequal access to the against  in addition to unequal access to many drugs 
Center for Urban Community Services | CUCS,"New York, NY","the very nature of the shots is an encore; at one point, the people who now need them “must have already decided a shot would be worthwhile.” 
- cucs chief medical officer, dr. van yu, on getting #covid19 boosters into arms. @theatlantic @katherinejwu 

https://t.co/yvau6xuqww",2022-04-12 20:20:30+00:00,covid19,the very nature of the shots is an encore at one point the people who now need them must have already decided a shot would be worthwhile - cucs chief medical officer dr van yu on getting boosters into arms
Secular Citizen MD 🌹,"Seattle, WA","newsflash: you are going to get #covid19. it does not matter if you are vaccinated or wear a mask. covid is here to stay, and eventually, everyone will get it. the vaccine helps to reduce hospitalizations and minimize the risks.",2022-04-12 20:15:12+00:00,covid19,newsflash you are going to get  it does not matter if you are vaccinated or wear a mask covid is here to stay and eventually everyone will get it the vaccine helps to reduce hospitalizations and minimize the risks
SpringLaw,"Toronto, Ontario","employers: what the end of covid-19 measures mean -- written by @hilarykpage1 

https://t.co/js4pjmxqxi

#covid19 #hr #employer #vaccine #vaccinepolicy #businessowner",2022-04-12 20:13:21+00:00,"covid19,hr,employer,vaccine,vaccinepolicy,businessowner",employers what the end of covid-19 measures mean -- written by
Alvaro Carrascal,Upstate NY,"from @cdcmmwr among persons w/ previous #sarscov2 infection or #covid19 diagnosis, receipt of a ..mrna vaccine provided protection against subsequent covid-19 hospitalization. 
 https://t.co/if6qnqmncv",2022-04-12 20:05:05+00:00,"sarscov2,covid19",from among persons w previous infection or diagnosis receipt of a mrna vaccine provided protection against subsequent covid-19 hospitalization
Humanity,Here & where my mind takes me.,#covid19 #long covid #mrna #covid_19 #omicron2 #omicron mrna vaccine’s don’t work in the upper respiratory tract : https://t.co/tfer42pmcr @weselymd @npr @theatlantic https://t.co/mzbzeclp6i,2022-04-13 23:58:02+00:00,"covid19,long,mrna,covid_19,omicron2,omicron",covid mrna vaccines dont work in the upper respiratory tract 
GailReedMEDICC,USA #Chicago born!,"#cuba readying to study its #soberana #covid19 #vaccine in infants in phase 1/2 trial designed by finlay vaccine institute. kids as young as 2 years are already eligible for vaccination, and some 1.8 million have received doses of the cuban covid vaccines.@finlayinstituto https://t.co/ssuuvbjso4",2022-04-13 23:48:53+00:00,"cuba,soberana,covid19,vaccine",readying to study its in infants in phase 2 trial designed by finlay vaccine institute kids as young as years are already eligible for vaccination and some million have received doses of the cuban covid vaccines
Alvaro Carrascal,Upstate NY,"israel study suggests “.a 4th dose of bnt162b2 vaccine ⬆️protection against pcr-confirm. #sarscov2 inf., symptom. #covid19, covid-19–rel. hospitalization, severe covid-19, &amp; covid-19–rel. death.. compared w/ a 3rd (booster) dose given at least 4 mo. earlier among 60 yo. &amp; older.",2022-04-13 23:48:49+00:00,"sarscov2,covid19",israel study suggests a th dose of bnt162b2 vaccine protection against pcr-confirm inf symptom  covid-19rel hospitalization severe covid-19  covid-19rel death compared w a rd (booster) dose given at least mo earlier among yo  older
covidhealth,,new covid vaccine may better protect cancer patients @lizhighleyman https://t.co/0lvrxbjzap #coronavirus #covid19,2022-04-13 23:43:42+00:00,"coronavirus,covid19",new covid vaccine may better protect cancer patients
Miguel Hernán,Boston,"1/
our findings on a fourth dose (2nd booster) of the pfizer-biontech #covid19 vaccine are now published.

compared with 3 doses only, a fourth dose had 68% effectiveness against covid-19 hospitalization during the omicron era in persons over 60 years of age.

interestingly... https://t.co/7n58phnud5",2022-04-13 23:41:02+00:00,covid19,our findings on a fourth dose (2nd booster) of the pfizer-biontech vaccine are now publishedcompared with doses only a fourth dose had  effectiveness against covid-19 hospitalization during the omicron era in persons over years of ageinterestingly
APPRISE,Australia,"new crop of #covid19 mrna vaccines could be easier to store, cheaper to use

if approved, they could bring the pandemic’s vaccine technology to more of the world

#covid19aus #covid19australia #covidvaccine
https://t.co/xt5xtj4crd https://t.co/lpaytic4sz",2022-04-13 23:40:03+00:00,"covid19,covid19aus,covid19australia,covidvaccine",new crop of mrna vaccines could be easier to store cheaper to useif approved they could bring the pandemics vaccine technology to more of the world 
Tom Gillispie -- NATURE NEEDS OUR HELP,"Rural Hall, NC","#health links to coronavirus and health 2022 #battling_coronavirus #biden_administration #coronavirus #sickness #covid19 #illness #covid_hospitalizations #vaccine_mandates #anti_vaccine #anti_vaxxers
https://t.co/g7x7o3mabx
https://t.co/arloiugpf1",2022-04-13 23:25:37+00:00,"health,battling_coronavirus,biden_administration,coronavirus,sickness,covid19,illness,covid_hospitalizations,vaccine_mandates,anti_vaccine,anti_vaxxers",links to coronavirus and health 
Eva Michelle,,"@joncoopertweets i’m vaccinated, no busters and no covid19, despite the fact that i had contact with a coworker who had covid, and she has the vaccine and 1 booster!",2022-04-13 23:24:49+00:00,,im vaccinated no busters and no covid19 despite the fact that i had contact with a coworker who had covid and she has the vaccine and booster!
Darling Downs Health,"Toowoomba, Queensland","today is our last day at the clifford gardens vaccination clinic! we will close our gates for the last time at 4pm. 
 
pop on down if you need your vaccination, no bookings required, just walk on in! 🚶🏻‍♀️

to find a vaccination location near you 👉🏻 https://t.co/dft9zmqnax https://t.co/hgt0kbepa5",2022-04-13 23:00:41+00:00,,today is our last day at the clifford gardens vaccination clinic! we will close our gates for the last time at pm pop on down if you need your vaccination no bookings required just walk on in! to find a vaccination location near you
Colorado Department of Public Health & Environment,Colorado,"here is the latest coronavirus in colorado update for april 13.
 
📊covid-19 data dashboard: https://t.co/lrm3aml3xb
➡️covid-19 vaccine dashboard: https://t.co/v5pozam8wg

#covid19colorado https://t.co/iizw8dyjzl",2022-04-13 22:58:52+00:00,covid19colorado,here is the latest coronavirus in colorado update for april  covid-19 data dashboard vaccine dashboard
Al Arabiya English,Dubai,"a new #covid19 vaccine might also protect #cancer patients with weak immune systems, a new study finds.

https://t.co/orcjtiu3rx",2022-04-13 22:40:00+00:00,"covid19,cancer",a new vaccine might also protect patients with weak immune systems a new study finds
Vaccine Evaluation Center,Vancouver BC,"vec's @manishs_ spoke to @cbcnewsbc on low child vaccine rate for #covid19:
many parents are more worried about the vaccine's side effects despite covid-19 being a greater risk — even to kids.
""ultimately, these vaccines are extremely safe for children""
https://t.co/7etbio4ks4",2022-04-13 22:36:51+00:00,covid19,"vecs spoke to on low child vaccine rate for many parents are more worried about the vaccines side effects despite covid-19 being a greater risk even to kids""ultimately these vaccines are extremely safe for children"""
Edward Koenig,"New York, NY, USA","""the subvariants — called ba.2.12 and ba.2.12.1 — accounted for more than 70 percent of new cases in central new york state...""
#covid19 #covidisnotover
https://t.co/8er6rqugyx",2022-04-13 22:29:57+00:00,"covid19,covidisnotover","""the subvariants called ba212 and ba2121 accounted for more than percent of new cases in central new york state"" "
LondonTimes,Great Britain,"the transparency tightrope: why regulators are being taken to court over #pfizer’s #covid19 #vaccine. 
 https://t.co/6gumghmjl6",2022-04-13 22:08:51+00:00,"pfizer,covid19,vaccine",the transparency tightrope why regulators are being taken to court over 
dRC,"Fredericksburg,VA Region","do you have a disability and need help accessing the covid-19 vaccine? the drc can assist you with finding a vaccination, scheduling an in-home vaccination, accessible transportation to a vaccination appointment, and much more. call us at 540-373-2559 for help. #covid19 #vaccine https://t.co/ftei6bivzk",2022-04-13 22:00:24+00:00,"covid19,vaccine",do you have a disability and need help accessing the covid-19 vaccine? the drc can assist you with finding a vaccination scheduling an in-home vaccination accessible transportation to a vaccination appointment and much more call us at -373-2559 for help
Australian Doctor,"Sydney, Australia","one gp suspended after being accused of issuing fake covid-19 vaccine exemptions says demand for the certificates was so great he thought he would be investigated for breaching the 80/20 rule

https://t.co/hxtarllocw",2022-04-13 21:59:00+00:00,,one gp suspended after being accused of issuing fake covid-19 vaccine exemptions says demand for the certificates was so great he thought he would be investigated for breaching the 20 rule
Cryssy,🇨🇦,"@gorilluhh @nayrtv @g2esports if you're getting mild myocarditis from the vaccine, you would likely die from myocarditis via covid. covid19 vaccine is much less immunogenic than covid itself.",2022-04-13 21:46:03+00:00,,if youre getting mild myocarditis from the vaccine you would likely die from myocarditis via covid covid19 vaccine is much less immunogenic than covid itself
Pinkvilla,"Mumbai, India","‘vaximum immunity’: #amul shares a quirky doodle after goi allows adults to get booster dose of #covid19 vaccine
https://t.co/lzyblr7iqy",2022-04-13 21:41:19+00:00,"amul,covid19",vaximum immunity shares a quirky doodle after goi allows adults to get booster dose of vaccine
N.R.Patton,"Bronx, NY","“it’s just a reminder that we’re not out of the woods with regard to this virus, and people should continue to take precautions and to get fully #vaccinated if they haven’t completed their course..."" #covid19
https://t.co/7swmtnrs8p",2022-04-13 21:35:22+00:00,"vaccinated,covid19","its just a reminder that were not out of the woods with regard to this virus and people should continue to take precautions and to get fully if they havent completed their course"" "
"Robin P, Clown World Fact Checker 🤡🌎",Tennessee,"don’t forget that fauci ouchie is now going around for a 4th try. i’m not anti-vax, but i am anti-mandate. i also take issue with a “vaccine” that has to be repeated this often to do anything #covid #covid19 #fauci #vaccination https://t.co/slr5urjpqo",2022-04-13 21:31:46+00:00,"covid,covid19,fauci,vaccination",dont forget that fauci ouchie is now going around for a th try im not anti-vax but i am anti-mandate i also take issue with a vaccine that has to be repeated this often to do anything
Prairie Mountain Health,"Manitoba, Canada","#brandon covid walk in vaccine clinic at the brandon shoppers mall on april 16.  offering 1st, 2nd &amp; 3rd doses if eligible. check eligibility criteria https://t.co/ecopolt5zm.    @bnrc1 https://t.co/rb73ovbzn6",2022-04-13 21:25:03+00:00,brandon,covid walk in vaccine clinic at the brandon shoppers mall on april  offering st nd  rd doses if eligible check eligibility criteria 
NJDOH,New Jersey,"you can get vaccinated against covid-19 at st. matthew ame in orange on april 22 from 2pm to 7pm. walk ups welcome, no appointment, id or insurance required. for more information visit https://t.co/57gloozn4w https://t.co/8mzimpv27y",2022-04-13 21:12:31+00:00,,you can get vaccinated against covid-19 at st matthew ame in orange on april from pm to pm walk ups welcome no appointment id or insurance required for more information visit
TCTMD,"New York, NY","patients who receive the #covid19 vaccine are no more likely to develop myopericarditis than with a flu shot.
lead authors @ryanryling and kollengode ramanathan, md, pulled data from 22 studies with over 400 million vaccine doses.
https://t.co/yhssig5icf",2022-04-13 21:01:08+00:00,covid19,patients who receive the vaccine are no more likely to develop myopericarditis than with a flu shotlead authors and kollengode ramanathan md pulled data from studies with over million vaccine doses
Ready Arlington 😷,"Arlington, VA","need a #covid19 #vaccine or #booster? our clinics at arlington mill + walter reed community centers accept walk-ins! no appointment, health insurance or county residence required to visit. we're open to anyone age 5+. 

visit https://t.co/yfbrh5fyjc or call 703-228-7999 for more. https://t.co/wl4j0xedid",2022-04-14 23:53:01+00:00,"covid19,vaccine,booster",need a or ? our clinics at arlington mill + walter reed community centers accept walk-ins! no appointment health insurance or county residence required to visit were open to anyone age + visit or call -228-7999 for more
Councilmember Raul Peralez,"San José, CA","keep your community safe! @healthyscc is hosting a free drop-in mobile vaccination clinic – no insurance or appointment required – weds 4/20 from 3:30-7pm at biblioteca latinoamericana &amp; washington united youth center, 921 s 1st street, sj. learn more: https://t.co/qgpnevdmdf https://t.co/u6w0ug7b98",2022-04-14 23:39:48+00:00,,keep your community safe! is hosting a free drop-in mobile vaccination clinic no insurance or appointment required weds 20 from 30-7pm at biblioteca latinoamericana  washington united youth center s st street sj learn more
Neo Winston,,"when you hear “please wear a mask” translate it to mean “my fear is more important than your comfort, sanity, or wellbeing so do that thing i demand”. 

#covididiots #vaccine #covid #covid19",2022-04-14 23:38:45+00:00,"covididiots,vaccine,covid,covid19",when you hear please wear a mask translate it to mean my fear is more important than your comfort sanity or wellbeing so do that thing i demand
WA Dept. of Health,"Olympia, WA","native action network is a native-led, nonprofit organization that promotes native women’s full participation in local, state, tribal, and national affairs. see their covid-19 vaccine confidence webpage, encouraging indigenous peoples to vaccinate. https://t.co/ygbhzv36zv

#nmhm https://t.co/nzqdhvhkoj",2022-04-14 23:35:02+00:00,nmhm,native action network is a native-led nonprofit organization that promotes native womens full participation in local state tribal and national affairs see their covid-19 vaccine confidence webpage encouraging indigenous peoples to vaccinate
wayne koff,,"sarah cobey discusses viral evolution, omicron, and what to expect next from covid19 @humanvacproject 
https://t.co/pyaemhc5kz",2022-04-14 23:29:29+00:00,,sarah cobey discusses viral evolution omicron and what to expect next from covid19
Travel News Asia,,"valneva becomes first whole-virus inactivated covid19 vaccine to gain regulatory approval in the uk. #valneva has been approved for people aged 18-50 years, with the 1st &amp; 2nd doses to be taken at least 28 days apart. protection only starts after 2nd dose. https://t.co/2a3c13yxlr",2022-04-14 23:09:44+00:00,valneva,valneva becomes first whole-virus inactivated covid19 vaccine to gain regulatory approval in the uk has been approved for people aged -50 years with the st  nd doses to be taken at least days apart protection only starts after nd dose
Mel Sabek,London,"cardiac complications after sars-cov-2 infection and mrna covid-19 vaccination — pcornet, united states, january 2021–january 2022 | mmwr 

the #cdc are admitting #covid19 #vaccine causes heart complications 💥🤨 https://t.co/c6jmmkbobb",2022-04-14 23:09:21+00:00,"cdc,covid19,vaccine",cardiac complications after sars-cov-2 infection and mrna covid-19 vaccination pcornet united states january january | mmwr the are admitting causes heart complications
Dave Naylor,Calgary,"ryerson students file lawsuit against university over covid-19 vaccine mandate
https://t.co/x7ugw8wycp #ryerson #covid19 #ontpoli",2022-04-14 23:07:05+00:00,"ryerson,covid19,ontpoli",ryerson students file lawsuit against university over covid-19 vaccine mandate
Burnaby Schools,"Burnaby, BC","students in #burnabyschools are working to help people in developing countries get equitable access to #covid19 vaccines. the fundraising efforts are led by student club @southwecouncil at @bbysouthsd41. learn more via @burnabynow_news and @cornaylor:
https://t.co/ig642qxnxv https://t.co/8dwbbu0oo6",2022-04-14 23:04:44+00:00,"burnabyschools,covid19",students in are working to help people in developing countries get equitable access to vaccines the fundraising efforts are led by student club at  learn more via and 
Vladimir Agoshkov,Ukraine,visualizing how covid-19 antiviral pills and vaccines work at the cellular level https://t.co/ts7d4jfal1 #antiviralactivity #cellreceptors #coronavirus #covid19 #vaccine https://t.co/ajbprtkuna,2022-04-14 23:03:46+00:00,"antiviralactivity,cellreceptors,coronavirus,covid19,vaccine",visualizing how covid-19 antiviral pills and vaccines work at the cellular level
Northern Qld PHN,"Cairns, Queensland","💉 make the choice | north peninsula area regional council mayor patricia yusia made the choice to get her covid-19 vaccination to be part of the fight against covid-19.

read her story here ➡ https://t.co/ghyxldf8uo 

#makethechoice #covid19 #vaccine #getthejab #firstnations",2022-04-14 23:00:47+00:00,"makethechoice,covid19,vaccine,getthejab,firstnations",make the choice | north peninsula area regional council mayor patricia yusia made the choice to get her covid-19 vaccination to be part of the fight against covid-19read her story here
Katwilli22,,@bbfranklin4 @akugizibwelivi4 @potus cdc covid timeline - count how many months from the start of creating a vaccine - from when it went into public arms https://t.co/cfvbhxryb9,2022-04-14 22:48:56+00:00,,cdc covid timeline - count how many months from the start of creating a vaccine - from when it went into public arms
UI Stead Family Children's Hospital,"Iowa City, Iowa, USA","the best course of action for families concerned about #covid19 is to ensure all eligible members of a household, such as parents—including those pregnant or breast-feeding—and kids ages 5 or older, get vaccinated. schedule your covid-19 vaccine today: https://t.co/nc8uni6be8 https://t.co/u6fy4xf7lp",2022-04-14 22:30:02+00:00,covid19,the best course of action for families concerned about is to ensure all eligible members of a household such as parentsincluding those pregnant or breast-feedingand kids ages or older get vaccinated schedule your covid-19 vaccine today
Deccan Herald,India,"#covid19 | available scientific data suggest immunity reduces with time, and those with comorbidities in any age group are vulnerable

#coronavirus #coronavirusvaccine #vaccine https://t.co/7bojqmlovi",2022-04-14 22:30:02+00:00,"covid19,coronavirus,coronavirusvaccine,vaccine",| available scientific data suggest immunity reduces with time and those with comorbidities in any age group are vulnerable
ymediagroup,Canada,"#novavax #covid-19 vaccine available at #metrotorontoconvention centre vaccination clinic starting april 21
#ymedia #covid19 #covid19vaccine 
@cityoftoronto @johntory @yudhvirjaswal https://t.co/rmehhy6etx",2022-04-14 22:22:30+00:00,"novavax,covid,metrotorontoconvention,ymedia,covid19,covid19vaccine",vaccine available at centre vaccination clinic starting april
"Lauren M. Haack, PhD","San Francisco, CA",https://t.co/zxwtpri4wd new sfusd #vaccine sites available with $100 gift cards while supplies last! #covid_19 #covid19 #sanfrancisco,2022-04-14 22:19:39+00:00,"vaccine,covid_19,covid19,sanfrancisco",new sfusd sites available with $100 gift cards while supplies last!
African American Youth Harvest Foundation,"Austin, TX","if you want a covid-19 vaccine or need a ride to a local clinic--we've got you covered (aayhf, capitol metro &amp; ctahi). find out how we can help below. #weareinthistogether #covid19 https://t.co/rgqsqhwz3d",2022-04-14 22:16:58+00:00,"weareinthistogether,covid19",if you want a covid-19 vaccine or need a ride to a local clinic--weve got you covered (aayhf capitol metro  ctahi) find out how we can help below
Zeinobia is fully vaccinated 💉💉💉,Egypt,"#bahrain authorizes the use of #valneva #covid19 #vaccine in the kingdom the kingdom of bahrain first globally to authorise, receive and administer the valneva covid-1... via @24liveblog https://t.co/gzxrrluheh",2022-04-14 22:07:22+00:00,"bahrain,valneva,covid19,vaccine",authorizes the use of in the kingdom the kingdom of bahrain first globally to authorise receive and administer the valneva covid-1 via
AZ Dept of Health,Arizona,"#didyouknow people who are up to date with #covid19 vaccinations are less likely to get ill from covid-19? it's true!

learn more about the benefits of covid-19 vaccines in a new adhs blog by dr. richard carmona, the 17th u.s. surgeon general. 

more: https://t.co/jnfhkys4pi https://t.co/3rxzzjibk7",2022-04-14 22:03:01+00:00,"didyouknow,covid19",people who are up to date with vaccinations are less likely to get ill from covid-19? its true!learn more about the benefits of covid-19 vaccines in a new adhs blog by dr richard carmona the th us surgeon general more
Hitech Guru,"Toronto, Canada","#covidupdates, april 14 #quebec could lift #maskmandate if #hospitalizations are declining in two weeks, legault says  https://t.co/btsttmpxm7 #omicron #omicronvariant #covid19 #corona #coronavirusupdates #xevariant #covidvariant #covidrestrictions #covidisntover #6thwave #qcpoli",2022-04-14 22:01:28+00:00,"covidupdates,quebec,maskmandate,hospitalizations,omicron,omicronvariant,covid19,corona,coronavirusupdates,xevariant,covidvariant,covidrestrictions,covidisntover,6thwave,qcpoli", april could lift if are declining in two weeks legault says
Al Arabiya English,Dubai,"#britain’s medicines regulator says it has approved the use of moderna inc’s #covid19 vaccine in children between six and 11 years, as the country bolsters itself for fighting coronavirus infections.
https://t.co/vf8e1spb4m",2022-04-14 22:00:00+00:00,"britain,covid19",medicines regulator says it has approved the use of moderna incs vaccine in children between six and years as the country bolsters itself for fighting coronavirus infections
Boston Public Health,Boston,"the boston public health commission recommends a second booster dose for certain high risk groups and individuals. to find a booster near you, visit https://t.co/hg4jjvgaur or call the mayor's health line at 617-534-5050. #bospoli https://t.co/jijtdruip8",2022-04-14 22:00:00+00:00,bospoli,the boston public health commission recommends a second booster dose for certain high risk groups and individuals to find a booster near you visit or call the mayors health line at -534-5050
Kellee Azar,"Portland, OR","washington health officials have voted against requiring the #covid19 vaccine for students to attend public schools. what do you think, should students be required to get the vaccine? #liveonk2 

https://t.co/kppuzlhxno",2022-04-14 21:46:03+00:00,"covid19,liveonk2",washington health officials have voted against requiring the vaccine for students to attend public schools what do you think should students be required to get the vaccine?
