tar,username,location,text,tweet_date,hashtags_extracted,text_cleaned
0,LLERO_CULTURE,"New York, NY",Come on Texas!  Let's read and follow the science!  Your lives depend on it. #COVID19 #vaccine #COVIDpandemic #Texas # https://t.co/RggI5EounB,2022-04-11 22:01:01+00:00,"covid19,vaccine,covidpandemic,texas",Come on Texas! Let's read and follow the science! Your lives depend on it.
-1,Wicked Prepping,,"Mandatory Vaccinations...
           or Just Coercive Manipulation?

😱Green Zones Coming to a Town Near You!

---&gt; https://t.co/GQxOqL2aSg 

#Vaccine #Vaccinations #WEF #NWO #COVID19 #COVID #coronavirus #prepper #prepping",2022-04-11 21:50:02+00:00,"vaccine,vaccinations,wef,nwo,covid19,covid,coronavirus,prepper,prepping",Mandatory Vaccinations... or Just Coercive Manipulation?Green Zones Coming to a Town Near You!---gt
0,Ethan Burress,,"As of April 6, 2022, 22.8 million children and adolescents ages 5–18 years have received their primary series of a #COVID19 vaccine and are considered fully vaccinated. There is still much work to do! Find out where to get vaccinated #MASC336: https://t.co/YokK2CP65t https://t.co/t9cXXy4WKs",2022-04-11 21:47:00+00:00,"covid19,masc336","As of April , , million children and adolescents ages years have received their primary series of a vaccine and are considered fully vaccinated. There is still much work to do! Find out where to get vaccinated "
0,MyDogIsSmarterThanYourRepublican,"Chicago, IL","@jeanthorpe Getting my 2nd booster tomorrow.  First 3 shots were Pfizer, so I'm getting a Moderna for the 4th.

https://t.co/hDcgtT5F7X.",2022-04-11 21:37:08+00:00,,"Getting my nd booster tomorrow. First shots were Pfizer, so I'm getting a Moderna for the th.."
0,WxKenYYC,"Calgary, Aberta","Calgary Alberta #ABstorm YYC YBW
2022 April 11, 3:05pm
Alberta Childrens Hospital Sky/28
@AHS_media COVID-19 Immunization Booking https://t.co/rqouNsQAOK https://t.co/gxzeqvlJxs",2022-04-11 21:06:27+00:00,abstorm,"Calgary Alberta YYC YBW2022 April , 05pmAlberta Childrens Hospital Sky28 COVID-19 Immunization Booking"
1,Epoch Times Opinion,New York City,"Opinion💭by @MartinKulldorff 

Over a year after the approvals of #COVID19 vaccines, we should have more information about them. This is a serious problem.

This has also led to less trust in @CDCgov and the @US_FDA, as well as other #Vaccines in general. https://t.co/ZrYzD6ZTcM",2022-04-11 21:05:01+00:00,"covid19,vaccines","Opinionby Over a year after the approvals of vaccines, we should have more information about them. This is a serious problem.This has also led to less trust in and the , as well as other in general."
0,Equal Hope,"Chicago, IL","The #COVID19 vaccines work!

https://t.co/qlKegyI7P4

#GetTheVax",2022-04-11 21:00:47+00:00,"covid19,getthevax",The vaccines work!
1,NYC Health + Hospitals/Bellevue,NYC,"A third #COVID19 vaccine dose is available and no cost for eligible New Yorkers at any NYC Health + Hospitals location! Walk-ins are welcome. Find answers to frequently asked questions about the third dose, and learn more about eligibility: https://t.co/8zUfFsd41J https://t.co/4266rPJ51y",2022-04-11 21:00:30+00:00,covid19,"A third vaccine dose is available and no cost for eligible New Yorkers at any NYC Health + Hospitals location! Walk-ins are welcome. Find answers to frequently asked questions about the third dose, and learn more about eligibility"
1,Tendrilita,,"Should I get a booster (fam too)? 

We were late vaccinators, so we became eligible recently. Not sure what to do. Data to share? Thank you!

#vaccine #COVID19 #Covid_19 #vaccinated #booster",2022-04-11 20:53:56+00:00,"vaccine,covid19,covid_19,vaccinated,booster","Should I get a booster (fam too)? We were late vaccinators, so we became eligible recently. Not sure what to do. Data to share? Thank you!"
1,African American Youth Harvest Foundation,"Austin, TX","If you want a COVID-19 vaccine or need a ride to a local clinic--WE'VE got you covered (AAYHF, Capitol Metro &amp; CTAHI). Find out how we can help below. #weareinthistogether #COVID19 https://t.co/BmGfXTCEt4",2022-04-11 20:50:43+00:00,"weareinthistogether,covid19","If you want a COVID-19 vaccine or need a ride to a local clinic--WE'VE got you covered (AAYHF, Capitol Metro  CTAHI). Find out how we can help below."
1,Star-Advertiser,"Honolulu, Hawaii",".@CVS, feds reach agreement on #COVID19 vaccine portal accessibility https://t.co/sAk56trlBR",2022-04-11 20:50:04+00:00,covid19,"., feds reach agreement on vaccine portal accessibility"
1,Dr. Lynora Saxinger 🇨🇦- IDologist,University of Alberta Edmonton,"COVID19 vaccine trials in young kids started in early 2021, designed to quickly assess safety and immune responses (given the extensive safety and effectiveness data with mRNA vaccines in other age groups.)
Article with some commentary here: https://t.co/h9vy22kEwr
5/",2022-04-11 20:48:04+00:00,,"COVID19 vaccine trials in young kids started in early , designed to quickly assess safety and immune responses (given the extensive safety and effectiveness data with mRNA vaccines in other age groups.)Article with some commentary here"
1,Public Health - Seattle & King County,"Seattle & King County, WA","Starting Friday, April 15th, Outlet Collection Mall #COVID19 vaccine site in @auburn_wa will be open Friday - Monday, 10:30am to 7:00pm.

Drop-ins welcome and same day appointments are available for vaccinations and boosters. For more information, go to: https://t.co/5l97kkZ2vf. https://t.co/MuunJRm3XA",2022-04-12 23:58:08+00:00,covid19,"Starting Friday, April th, Outlet Collection Mall vaccine site in will be open Friday - Monday, 30am to 00pm.Drop-ins welcome and same day appointments are available for vaccinations and boosters. For more information, go to ."
1,Tian_A1,Everywhere,#Pfizer's COVID pill Paxlovid gets boost in Britain thanks to spot in [ https://t.co/B5WJx1x0El ] Il y a 9heures Pfizer's #Covid19 vaccine and antiviral show little sign of slowing down in the The pandemic catapulted BioNTech into the #Biotech big le https://t.co/di6c0mpnIY,2022-04-12 23:56:05+00:00,"pfizer,covid19,biotech",'s COVID pill Paxlovid gets boost in Britain thanks to spot in [ ] Il y a heures Pfizer's vaccine and antiviral show little sign of slowing down in the The pandemic catapulted BioNTech into the big le
0,Nina Sun,,A case study on why communities need to part of pandemic preparedness 👇👇👇 #covid19 https://t.co/MYmeSCJxvG,2022-04-12 23:36:29+00:00,covid19,A case study on why communities need to part of pandemic preparedness
-1,Tian_A1,Everywhere,"After initial hiccup, many private hospitals start offering #Covid19 vaccine booster doses demand rises [ https://t.co/eQQKYl5RAl ] Il y a 18heures With both Serum Institute of #India and Bharat #Biotech asking private hospitals to start offering COV https://t.co/JfFHSg7Ek1",2022-04-12 23:07:06+00:00,"covid19,india,biotech","After initial hiccup, many private hospitals start offering vaccine booster doses demand rises [ ] Il y a heures With both Serum Institute of and Bharat asking private hospitals to start offering COV"
0,Colorado Department of Public Health & Environment,Colorado,"@CDCgov and CDPHE have released COVID-19 revaccination information for patients who received invalid doses of COVID-19 vaccine at the Centennial-based Health Now Medical, LLC (operating as Health Now Family Practice). 

Press release: https://t.co/9I7pFOsRWH",2022-04-12 22:45:56+00:00,,"and CDPHE have released COVID-19 revaccination information for patients who received invalid doses of COVID-19 vaccine at the Centennial-based Health Now Medical, LLC (operating as Health Now Family Practice). Press release"
0,Martin Oaks,"Lewisville, TX and Dallas, TX",Dr. #Jha new #COVID19  #czar. #leadership #doctor #medicine #hospital #Research #speaker #WhiteHouse #CDC #WHO #Congress #usa #vaccine #booster #legal #masks #schools #travel https://t.co/EkmbmSfaZx,2022-04-12 22:33:59+00:00,"jha,covid19,czar,leadership,doctor,medicine,hospital,research,speaker,whitehouse,cdc,who,congress,usa,vaccine,booster,legal,masks,schools,travel",Dr. new .
0,YourVaccinationGuide.org,,"Get all the answers you are looking for about #Covid-19 #vaccine on @YourVaccinationGuide in English and Spanish that includes advice from medical experts and testimonials from real people. Stay in the know by visiting us! #vaccination #COVID19 
https://t.co/ygnkg6vh5M",2022-04-12 22:30:38+00:00,"covid,vaccine,vaccination,covid19",Get all the answers you are looking for about on in English and Spanish that includes advice from medical experts and testimonials from real people. Stay in the know by visiting us!
-1,North Bay Parry Sound District Health Unit,Northern Ontario,"18+, no symptoms and boosted? You don’t need to #isolate if a household member has #COVID19 symptoms or tests positive. Where to get your #booster: https://t.co/ndNsAJpYm6. Info on isolation guidelines: https://t.co/YQrOOdqXxV, or ON's Testing &amp; Isolation Line: 1-888-777-0730 https://t.co/YkVZQSOBZN",2022-04-12 22:30:05+00:00,"isolate,covid19,booster","+, no symptoms and boosted? You dont need to if a household member has symptoms or tests positive. Where to get your  . Info on isolation guidelines , or ON's Testing  Isolation Line1-888-777-0730"
1,James Coleman,,"@VariantOmicron_ @JohnnyX1987 @VoisonMyOpinion https://t.co/kpQH3wm7K8

https://t.co/AG3ulRaXmB

https://t.co/2dZ4BrNnvm

https://t.co/z8UnMnL0k1

And studies across the world agree:

https://t.co/h5ZSAPlcH5

https://t.co/RgO6xcear6

https://t.co/K5b2EgwVUy

But really, just speak to some virologists. Speak to doctors.",2022-04-12 22:25:06+00:00,,"studies across the world agree really, just speak to some virologists. Speak to doctors."
1,Pea Green Corner,,"@MootLvr66 @TenTonHeart I switched. First three shots Pfizer, asked for and got Moderna this time.  Some preliminary findings suggest mixing may be better.  https://t.co/4yNFNyEeUL",2022-04-12 22:07:46+00:00,,"I switched. First three shots Pfizer, asked for and got Moderna this time. Some preliminary findings suggest mixing may be better."
1,Lynn Deborah ✡️ 🎨 💬,"Oregon, USA","A German State Is Last in Almost Everything. But It’s No. 1 in Vaccines.
Bremen — Germany’s smallest state — managed its vaccination campaign better than any other place in Germany. It succeeded by activating community networks. #Covid19 #Vaccinations  https://t.co/faOtjISyJ0",2022-04-12 22:03:14+00:00,"covid19,vaccinations",A German State Is Last in Almost Everything. But Its No. in Vaccines.Bremen Germanys smallest state managed its vaccination campaign better than any other place in Germany. It succeeded by activating community networks.
1,Louis T McFadden,,"MU nursing receives $70,000 grant to combat vaccine hesitancy | COVID-19 | https://t.co/bD1rf00zwr. Sounds like a government propaganda program yet again … what’s that curriculum look like @hawley ⁦⁦@RepHartzler⁩  https://t.co/HzgiDHaBv3",2022-04-12 21:49:23+00:00,,"MU nursing receives $70,000 grant to combat vaccine hesitancy | COVID-19 | . Sounds like a government propaganda program yet again whats that curriculum look like"
1,Indiana Department of Health,Indiana,"The more a virus spreads, the more it mutates and the more variants can emerge. #COVID19 vaccinations can help stop new variants from emerging.

Help stop the spread of variants of the virus that causes COVID-19 by getting vaccinated as soon as you can 💉 https://t.co/2akqSy3dip https://t.co/sawdd097a4",2022-04-12 21:31:11+00:00,covid19,"The more a virus spreads, the more it mutates and the more variants can emerge. vaccinations can help stop new variants from emerging.Help stop the spread of variants of the virus that causes COVID-19 by getting vaccinated as soon as you can"
1,POPEYE,NICE,Two doctors suspended for speaking out about the Covid-19 vaccine win appeal https://t.co/5qdC92ih62,2022-04-12 21:26:19+00:00,,Two doctors suspended for speaking out about the Covid-19 vaccine win appeal
1,PacificaSeniorLiving,"San Diego, CA","Here's everything you need to know about the FDA's approval of a second booster of the COVID-19 vaccine. The shot is intended to ensure those at a higher risk of infection - such as seniors - are protected.

#PacificaSeniorLiving #COVID19
https://t.co/No11euicfS https://t.co/tPP12hMqMJ",2022-04-12 21:20:49+00:00,"pacificaseniorliving,covid19",Here's everything you need to know about the FDA's approval of a second booster of the COVID-19 vaccine. The shot is intended to ensure those at a higher risk of infection - such as seniors - are protected. 
0,Optometry Times,"Cleveland, Philadelphia",".@pfizer and @BioNTech_Group launch omicron-specific COVID-19 vaccine trial https://t.co/Qr1lZAEKm4

#Optometry #COVID #COVID19 #ClinicalTrial https://t.co/L7bjIqdgCX",2022-04-12 21:00:29+00:00,"optometry,covid,covid19,clinicaltrial",. and launch omicron-specific COVID-19 vaccine trial
-1,Illinois CEAL,,"#Parents and #caregivers:  Read this article to better understand the rare but treatable risks of the #COVID19 vaccine. 

https://t.co/xjeVDsBRbs

#GetTheVax",2022-04-12 21:00:18+00:00,"parents,caregivers,covid19,getthevax",and  Read this article to better understand the rare but treatable risks of the vaccine.
-1,David  ♿️🎨,"Harrisburg, PA","COVID stab number 4. 

I’ll get them every time they say I need one. This isn’t a bid deal, y’all. 

Get #vaccinated #vax #vaccine #COVID19 #covidvax",2022-04-12 20:38:05+00:00,"vaccinated,vax,vaccine,covid19,covidvax","COVID stab number . Ill get them every time they say I need one. This isnt a bid deal, yall. Get"
0,Canadian National Multilingual Newsgroup,Toronto,"Ontario: on April 12, numbers released by the Ministry of Health show health officials administered 28,641 vaccine doses on Monday, down from 12,516 doses the day prior 
(CNMNG News 🇨🇦)

https://t.co/SDOvWb0D0P

#COVID19 #Ontario #vaccinations #Canada #COVID",2022-04-12 20:35:48+00:00,"covid19,ontario,vaccinations,canada,covid","Ontario on April , numbers released by the Ministry of Health show health officials administered vaccine doses on Monday, down from doses the day prior (CNMNG News )"
0,Shane Woodford,"Faaborg, Denmark","#Finland registered 7,216 #COVID19 infection and had no new #coronavirus deaths since yesterday’s update. #COVID hospitalizations (966) have increased (+42). So far, 80.2% of the total population have one vaccine dose, 76.9% have two, and 51.4% have a booster shot. https://t.co/VgJwlLLchi",2022-04-12 20:30:42+00:00,"finland,covid19,coronavirus,covid","registered infection and had no new deaths since yesterdays update. hospitalizations (966) have increased (+42). So far,  of the total population have one vaccine dose,  have two, and  have a booster shot."
1,"University of Maryland, Baltimore","Baltimore, Maryland",The outcome from one of these newest @IHVmaryland studies indicate that this trained innate immune response spurred by vaccination using the live polio-virus may provide protection for up to 6 months against COVID infection. #COVID19 https://t.co/rHMYlLNgJd,2022-04-12 20:30:02+00:00,covid19,The outcome from one of these newest studies indicate that this trained innate immune response spurred by vaccination using the live polio-virus may provide protection for up to months against COVID infection.
-1,Jean-Luc Mathay,Thoissey (France),"(Post updated) The African continent is still victim of unequal access to the #vaccine against #COVID19... in addition to unequal access to many drugs...
#VaccinEquity 
#CovidIsNotOver
#CovidIsntOver
#ctaop
https://t.co/5C4Lq5VKSZ",2022-04-12 20:26:16+00:00,"vaccine,covid19,vaccinequity,covidisnotover,covidisntover,ctaop",(Post updated) The African continent is still victim of unequal access to the against ... in addition to unequal access to many drugs... 
0,Center for Urban Community Services | CUCS,"New York, NY","The very nature of the shots is an encore; at one point, the people who now need them “must have already decided a shot would be worthwhile.” 
- CUCS Chief Medical Officer, Dr. Van Yu, on getting #COVID19 boosters into arms. @TheAtlantic @KatherineJWu 

https://t.co/yVaU6xuQwW",2022-04-12 20:20:30+00:00,covid19,"The very nature of the shots is an encore at one point, the people who now need them must have already decided a shot would be worthwhile. - CUCS Chief Medical Officer, Dr. Van Yu, on getting boosters into arms."
1,Secular Citizen MD 🌹,"Seattle, WA","Newsflash: You are going to get #COVID19. It does not matter if you are vaccinated or wear a mask. COVID is here to stay, and eventually, everyone will get it. The vaccine helps to reduce hospitalizations and minimize the risks.",2022-04-12 20:15:12+00:00,covid19,"Newsflash You are going to get . It does not matter if you are vaccinated or wear a mask. COVID is here to stay, and eventually, everyone will get it. The vaccine helps to reduce hospitalizations and minimize the risks."
0,SpringLaw,"Toronto, Ontario","Employers: What the End of Covid-19 Measures Mean -- Written by @HilaryKPage1 

https://t.co/Js4PjmxQXi

#COVID19 #HR #Employer #vaccine #vaccinepolicy #businessowner",2022-04-12 20:13:21+00:00,"covid19,hr,employer,vaccine,vaccinepolicy,businessowner",Employers What the End of Covid-19 Measures Mean -- Written by
0,Alvaro Carrascal,Upstate NY,"From @CDCMMWR Among persons w/ previous #SARSCoV2 infection or #COVID19 diagnosis, receipt of a ..mRNA vaccine provided protection against subsequent COVID-19 hospitalization. 
 https://t.co/iF6QnqmNcv",2022-04-12 20:05:05+00:00,"sarscov2,covid19","From Among persons w previous infection or diagnosis, receipt of a ..mRNA vaccine provided protection against subsequent COVID-19 hospitalization."
0,Humanity,Here & where my mind takes me.,#COVID19 #Long Covid #mRNA #Covid_19 #OMICRON2 #Omicron MRNA Vaccine’s Don’t Work In The Upper Respiratory Tract : https://t.co/TfeR42pMcR @WesElyMD @NPR @TheAtlantic https://t.co/mZBZEcLP6I,2022-04-13 23:58:02+00:00,"covid19,long,mrna,covid_19,omicron2,omicron",Covid MRNA Vaccines Dont Work In The Upper Respiratory Tract 
0,GailReedMEDICC,USA #Chicago born!,"#Cuba readying to study its #Soberana #COVID19 #vaccine in infants in phase 1/2 trial designed by Finlay Vaccine Institute. Kids as young as 2 years are already eligible for vaccination, and some 1.8 million have received doses of the Cuban COVID vaccines.@FinlayInstituto https://t.co/SsuUVBjsO4",2022-04-13 23:48:53+00:00,"cuba,soberana,covid19,vaccine","readying to study its in infants in phase 2 trial designed by Finlay Vaccine Institute. Kids as young as years are already eligible for vaccination, and some million have received doses of the Cuban COVID vaccines."
-1,Alvaro Carrascal,Upstate NY,"Israel study suggests “.a 4th dose of BNT162b2 vaccine ⬆️protection against PCR-confirm. #SARSCOV2 inf., symptom. #Covid19, Covid-19–rel. hospitalization, severe Covid-19, &amp; Covid-19–rel. death.. compared w/ a 3rd (booster) dose given at least 4 mo. earlier among 60 yo. &amp; older.",2022-04-13 23:48:49+00:00,"sarscov2,covid19","Israel study suggests .a th dose of BNT162b2 vaccine protection against PCR-confirm. inf., symptom. , Covid-19rel. hospitalization, severe Covid-19,  Covid-19rel. death.. compared w a rd (booster) dose given at least mo. earlier among yo.  older."
0,covidhealth,,New COVID Vaccine May Better Protect Cancer Patients @LizHighleyman https://t.co/0lVRXbJZAp #coronavirus #COVID19,2022-04-13 23:43:42+00:00,"coronavirus,covid19",New COVID Vaccine May Better Protect Cancer Patients
0,Miguel Hernán,Boston,"1/
Our findings on a fourth dose (2nd booster) of the Pfizer-BioNTech #COVID19 vaccine are now published.

Compared with 3 doses only, a fourth dose had 68% effectiveness against COVID-19 hospitalization during the Omicron era in persons over 60 years of age.

Interestingly... https://t.co/7N58pHnUd5",2022-04-13 23:41:02+00:00,covid19,"Our findings on a fourth dose (2nd booster) of the Pfizer-BioNTech vaccine are now published.Compared with doses only, a fourth dose had  effectiveness against COVID-19 hospitalization during the Omicron era in persons over years of age.Interestingly..."
1,APPRISE,Australia,"New crop of #COVID19 mRNA vaccines could be easier to store, cheaper to use

If approved, they could bring the pandemic’s vaccine technology to more of the world

#COVID19Aus #COVID19Australia #CovidVaccine
https://t.co/Xt5xtJ4Crd https://t.co/lpaytiC4sz",2022-04-13 23:40:03+00:00,"covid19,covid19aus,covid19australia,covidvaccine","New crop of mRNA vaccines could be easier to store, cheaper to useIf approved, they could bring the pandemics vaccine technology to more of the world "
0,Tom Gillispie -- NATURE NEEDS OUR HELP,"Rural Hall, NC","#health LINKS TO CORONAVIRUS AND HEALTH 2022 #battling_coronavirus #Biden_administration #coronavirus #sickness #covid19 #illness #COVID_hospitalizations #vaccine_mandates #anti_vaccine #anti_vaxxers
https://t.co/G7x7o3MaBx
https://t.co/arLoiUgPF1",2022-04-13 23:25:37+00:00,"health,battling_coronavirus,biden_administration,coronavirus,sickness,covid19,illness,covid_hospitalizations,vaccine_mandates,anti_vaccine,anti_vaxxers",LINKS TO CORONAVIRUS AND HEALTH 
-1,Eva Michelle,,"@joncoopertweets I’m vaccinated, No busters and No COVID19, despite the fact that I had contact with a coworker who had COVID, and she has the vaccine and 1 booster!",2022-04-13 23:24:49+00:00,,"Im vaccinated, No busters and No COVID19, despite the fact that I had contact with a coworker who had COVID, and she has the vaccine and booster!"
-1,Darling Downs Health,"Toowoomba, Queensland","Today is our last day at the Clifford Gardens vaccination clinic! We will close our gates for the last time at 4pm. 
 
Pop on down if you need your vaccination, no bookings required, just walk on in! 🚶🏻‍♀️

To find a vaccination location near you 👉🏻 https://t.co/dft9zmQnAx https://t.co/hgt0kbePA5",2022-04-13 23:00:41+00:00,,"Today is our last day at the Clifford Gardens vaccination clinic! We will close our gates for the last time at pm. Pop on down if you need your vaccination, no bookings required, just walk on in! To find a vaccination location near you"
1,Al Arabiya English,Dubai,"A new #COVID19 vaccine might also protect #cancer patients with weak immune systems, a new study finds.

https://t.co/orcjTIu3rX",2022-04-13 22:40:00+00:00,"covid19,cancer","A new vaccine might also protect patients with weak immune systems, a new study finds."
-1,Vaccine Evaluation Center,Vancouver BC,"VEC's @manishs_ spoke to @cbcnewsbc on low child vaccine rate for #COVID19:
Many parents are more worried about the vaccine's side effects despite COVID-19 being a greater risk — even to kids.
""Ultimately, these vaccines are extremely safe for children""
https://t.co/7EtbIO4kS4",2022-04-13 22:36:51+00:00,covid19,"VEC's spoke to on low child vaccine rate for Many parents are more worried about the vaccine's side effects despite COVID-19 being a greater risk even to kids.""Ultimately, these vaccines are extremely safe for children"""
0,Edward Koenig,"New York, NY, USA","""The subvariants — called BA.2.12 and BA.2.12.1 — accounted for more than 70 percent of new cases in central New York State...""
#COVID19 #CovidIsNotOver
https://t.co/8Er6rqugYX",2022-04-13 22:29:57+00:00,"covid19,covidisnotover","""The subvariants called BA.2.12 and BA.2.12.1 accounted for more than percent of new cases in central New York State..."" "
0,LondonTimes,Great Britain,"The transparency tightrope: Why regulators are being taken to court over #Pfizer’s #Covid19 #vaccine. 
 https://t.co/6GUmGHmJl6",2022-04-13 22:08:51+00:00,"pfizer,covid19,vaccine",The transparency tightrope Why regulators are being taken to court over .
1,dRC,"Fredericksburg,VA Region","Do you have a disability and need help accessing the COVID-19 vaccine? The dRC can assist you with finding a vaccination, scheduling an in-home vaccination, accessible transportation to a vaccination appointment, and much more. Call us at 540-373-2559 for help. #COVID19 #Vaccine https://t.co/FTei6BIvZK",2022-04-13 22:00:24+00:00,"covid19,vaccine","Do you have a disability and need help accessing the COVID-19 vaccine? The dRC can assist you with finding a vaccination, scheduling an in-home vaccination, accessible transportation to a vaccination appointment, and much more. Call us at -373-2559 for help."
-1,Australian Doctor,"Sydney, Australia","One GP suspended after being accused of issuing fake COVID-19 vaccine exemptions says demand for the certificates was so great he thought he would be investigated for breaching the 80/20 rule

https://t.co/HXTARlLOcW",2022-04-13 21:59:00+00:00,,One GP suspended after being accused of issuing fake COVID-19 vaccine exemptions says demand for the certificates was so great he thought he would be investigated for breaching the 20 rule
-1,Cryssy,🇨🇦,"@gorilluhh @NayrTv @G2esports If you're getting mild myocarditis from the vaccine, you would likely die from myocarditis via covid. Covid19 vaccine is much less immunogenic than covid itself.",2022-04-13 21:46:03+00:00,,"If you're getting mild myocarditis from the vaccine, you would likely die from myocarditis via covid. Covid19 vaccine is much less immunogenic than covid itself."
1,Pinkvilla,"Mumbai, India","‘Vaximum Immunity’: #Amul shares a quirky doodle after GOI allows adults to get booster dose of #COVID19 vaccine
https://t.co/lZYblr7iQy",2022-04-13 21:41:19+00:00,"amul,covid19",Vaximum Immunity shares a quirky doodle after GOI allows adults to get booster dose of vaccine
0,N.R.Patton,"Bronx, NY","“It’s just a reminder that we’re not out of the woods with regard to this virus, and people should continue to take precautions and to get fully #vaccinated if they haven’t completed their course..."" #COVID19
https://t.co/7SwmTnRS8p",2022-04-13 21:35:22+00:00,"vaccinated,covid19","Its just a reminder that were not out of the woods with regard to this virus, and people should continue to take precautions and to get fully if they havent completed their course..."" "
-1,"Robin P, Clown World Fact Checker 🤡🌎",Tennessee,"Don’t forget that Fauci Ouchie is now going around for a 4th try. I’m not anti-vax, but I am anti-mandate. I also take issue with a “vaccine” that has to be repeated this often to do anything #COVID #COVID19 #fauci #vaccination https://t.co/slR5urJpQo",2022-04-13 21:31:46+00:00,"covid,covid19,fauci,vaccination","Dont forget that Fauci Ouchie is now going around for a th try. Im not anti-vax, but I am anti-mandate. I also take issue with a vaccine that has to be repeated this often to do anything"
